duration_years,hazard
0,0.0002
1,0.002801
2,0.010532
3,0.016422
4,0.019272
5,0.020387
6,0.020382
7,0.020477
8,0.019452
9,0.018698
10,0.018357
11,0.01799
12,0.016994
13,0.016307
14,0.015705
15,0.015829
16,0.014539
17,0.014754
18,0.013517
19,0.013165
20,0.01266
21,0.012271
22,0.011865
23,0.011019
24,0.010998
25,0.009821
26,0.009189
27,0.007655
28,0.008011
29,0.006879
30,0.006324
31,0.005607
32,0.004724
33,0.00444
34,0.004306
35,0.004016
36,0.003257
37,0.002956
38,0.002341
39,0.00219
40,0.001881
41,0.001571
42,0.001416
43,0.00126
44,0.001262
45,0.001105
46,0.000791
47,0.000791
48,0.000633
49,0.000634
50,0.000317
