age,sex,hazard
15,M,0.000457
16,M,0.000457
17,M,0.000457
18,M,0.000457
19,M,0.000457
20,M,0.009417
21,M,0.009417
22,M,0.009417
23,M,0.009417
24,M,0.009417
25,M,0.035985
26,M,0.035985
27,M,0.035985
28,M,0.035985
29,M,0.035985
30,M,0.045648
31,M,0.045648
32,M,0.045648
33,M,0.045648
34,M,0.045648
35,M,0.02865
36,M,0.02865
37,M,0.02865
38,M,0.02865
39,M,0.02865
40,M,0.017571
41,M,0.017571
42,M,0.017571
43,M,0.017571
44,M,0.017571
45,M,0.011148
46,M,0.011148
47,M,0.011148
48,M,0.011148
49,M,0.011148
50,M,0.008571
51,M,0.008571
52,M,0.008571
53,M,0.008571
54,M,0.008571
55,M,0.006778
56,M,0.006778
57,M,0.006778
58,M,0.006778
59,M,0.006778
60,M,0.005111
61,M,0.005111
62,M,0.005111
63,M,0.005111
64,M,0.005111
65,M,0.003647
66,M,0.003647
67,M,0.003647
68,M,0.003647
69,M,0.003647
70,M,0.002764
15,F,0.001943
16,F,0.001943
17,F,0.001943
18,F,0.001943
19,F,0.001943
20,F,0.016992
21,F,0.016992
22,F,0.016992
23,F,0.016992
24,F,0.016992
25,F,0.046419
26,F,0.046419
27,F,0.046419
28,F,0.046419
29,F,0.046419
30,F,0.047325
31,F,0.047325
32,F,0.047325
33,F,0.047325
34,F,0.047325
35,F,0.025827
36,F,0.025827
37,F,0.025827
38,F,0.025827
39,F,0.025827
40,F,0.014877
41,F,0.014877
42,F,0.014877
43,F,0.014877
44,F,0.014877
45,F,0.010528
46,F,0.010528
47,F,0.010528
48,F,0.010528
49,F,0.010528
50,F,0.007143
51,F,0.007143
52,F,0.007143
53,F,0.007143
54,F,0.007143
55,F,0.005083
56,F,0.005083
57,F,0.005083
58,F,0.005083
59,F,0.005083
60,F,0.003919
61,F,0.003919
62,F,0.003919
63,F,0.003919
64,F,0.003919
65,F,0.002553
66,F,0.002553
67,F,0.002553
68,F,0.002553
69,F,0.002553
70,F,0.001209
15,both,0.0012
16,both,0.0012
17,both,0.0012
18,both,0.0012
19,both,0.0012
20,both,0.013
21,both,0.013
22,both,0.013
23,both,0.013
24,both,0.013
25,both,0.0406
26,both,0.0406
27,both,0.0406
28,both,0.0406
29,both,0.0406
30,both,0.0463
31,both,0.0463
32,both,0.0463
33,both,0.0463
34,both,0.0463
35,both,0.0275
36,both,0.0275
37,both,0.0275
38,both,0.0275
39,both,0.0275
40,both,0.0164
41,both,0.0164
42,both,0.0164
43,both,0.0164
44,both,0.0164
45,both,0.0109
46,both,0.0109
47,both,0.0109
48,both,0.0109
49,both,0.0109
50,both,0.008
51,both,0.008
52,both,0.008
53,both,0.008
54,both,0.008
55,both,0.0061
56,both,0.0061
57,both,0.0061
58,both,0.0061
59,both,0.0061
60,both,0.0046
61,both,0.0046
62,both,0.0046
63,both,0.0046
64,both,0.0046
65,both,0.0031
66,both,0.0031
67,both,0.0031
68,both,0.0031
69,both,0.0031
70,both,0.0019
