age_lo,age_hi,income_band,owner_rate
15,19,low,0.0922
15,19,lower_middle,0.1416
15,19,middle,0.17
15,19,upper_middle,0.1792
15,19,high,0.1934
20,24,low,0.1119
20,24,lower_middle,0.1719
20,24,middle,0.2064
20,24,upper_middle,0.2176
20,24,high,0.2348
25,29,low,0.2168
25,29,lower_middle,0.333
25,29,middle,0.3999
25,29,upper_middle,0.4215
25,29,high,0.4548
30,34,low,0.3105
30,34,lower_middle,0.4768
30,34,middle,0.5727
30,34,upper_middle,0.6036
30,34,high,0.6513
35,39,low,0.3653
35,39,lower_middle,0.561
35,39,middle,0.6737
35,39,upper_middle,0.7101
35,39,high,0.7662
40,44,low,0.3963
40,44,lower_middle,0.6087
40,44,middle,0.731
40,44,upper_middle,0.7705
40,44,high,0.8313
45,49,low,0.4192
45,49,lower_middle,0.6437
45,49,middle,0.7731
45,49,upper_middle,0.8149
45,49,high,0.8792
50,54,low,0.4321
50,54,lower_middle,0.6636
50,54,middle,0.7969
50,54,upper_middle,0.84
50,54,high,0.9063
55,59,low,0.4427
55,59,lower_middle,0.6799
55,59,middle,0.8165
55,59,upper_middle,0.8606
55,59,high,0.9286
60,64,low,0.4475
60,64,lower_middle,0.6873
60,64,middle,0.8254
60,64,upper_middle,0.87
60,64,high,0.9387
65,69,low,0.4489
65,69,lower_middle,0.6895
65,69,middle,0.828
65,69,upper_middle,0.8728
65,69,high,0.9417
70,74,low,0.444
70,74,lower_middle,0.6819
70,74,middle,0.819
70,74,upper_middle,0.8632
70,74,high,0.9314
75,84,low,0.4307
75,84,lower_middle,0.6615
75,84,middle,0.7944
75,84,upper_middle,0.8373
75,84,high,0.9035
85,120,low,0.406
85,120,lower_middle,0.6235
85,120,middle,0.7488
85,120,upper_middle,0.7892
85,120,high,0.8515
