field,age_lo,age_hi,p10,p25,p50,p75,p90
education,15,24,2700,6800,15600,32200,56100
education,25,34,6900,19600,44000,71700,99600
education,35,44,10500,32900,68000,110000,155300
education,45,54,13300,41800,82000,133800,196500
education,55,64,5100,20100,52100,89800,138200
education,65,120,800,2100,5800,25000,52400
arts,15,24,2000,5000,11400,23500,41000
arts,25,34,4600,13100,29400,47900,66500
arts,35,44,6600,20500,42500,68800,97000
arts,45,54,7200,22600,44400,72500,106400
arts,55,64,3400,13600,35100,60600,93200
arts,65,120,1000,2400,6700,29000,60800
humanities,15,24,2000,5100,11700,24100,42100
humanities,25,34,5500,15500,34800,56700,78700
humanities,35,44,7400,23200,48000,77800,109700
humanities,45,54,8800,27700,54400,88800,130400
humanities,55,64,4400,17600,45600,78700,121100
humanities,65,120,1100,2900,7800,33900,71100
social_sciences_law,15,24,2300,5800,13400,27600,48200
social_sciences_law,25,34,6400,18100,40800,66500,92300
social_sciences_law,35,44,8400,26500,54800,88700,125100
social_sciences_law,45,54,9900,31200,61200,99900,146700
social_sciences_law,55,64,4900,19700,50900,87700,135000
social_sciences_law,65,120,1800,4400,12100,52800,110500
business,15,24,3100,7700,17600,36300,63300
business,25,34,7100,20100,45200,73600,102300
business,35,44,8800,27400,56800,91900,129700
business,45,54,9800,31000,60800,99200,145700
business,55,64,5000,19800,51300,88400,136100
business,65,120,1400,3500,9500,41200,86400
sciences,15,24,1800,4400,10200,21000,36700
sciences,25,34,6300,18000,40400,65800,91400
sciences,35,44,10300,32100,66500,107600,151900
sciences,45,54,12400,39000,76500,124800,183300
sciences,55,64,6300,25000,64600,111400,171400
sciences,65,120,1300,3200,8800,38100,79900
math_cs,15,24,3000,7500,17200,35500,61900
math_cs,25,34,7900,22200,50000,81500,113100
math_cs,35,44,10900,34300,71000,114900,162100
math_cs,45,54,12500,39500,77500,126500,185700
math_cs,55,64,6200,24800,64200,110700,170400
math_cs,65,120,1300,3300,9000,39000,81700
engineering,15,24,4300,10700,24600,50700,88500
engineering,25,34,8700,24600,55200,89900,124900
engineering,35,44,10800,33800,70000,113300,159800
engineering,45,54,11700,36700,72000,117500,172600
engineering,55,64,5700,22600,58500,101000,155400
engineering,65,120,900,2200,6100,26600,55700
agriculture,15,24,3400,8400,19400,40000,69800
agriculture,25,34,6300,18000,40400,65800,91400
agriculture,35,44,8200,25700,53200,86100,121500
agriculture,45,54,9600,30200,59200,96600,141900
agriculture,55,64,4400,17500,45200,78000,120000
agriculture,65,120,1200,3000,8100,35300,73800
health,15,24,3100,7700,17800,36700,64000
health,25,34,6800,19200,43200,70400,97800
health,35,44,8000,25100,52000,84200,118800
health,45,54,9300,29400,57600,94000,138000
health,55,64,4800,19000,49300,85000,130700
health,65,120,2300,5600,15400,67000,140300
services,15,24,3100,7800,18000,37100,64700
services,25,34,5500,15700,35200,57400,79700
services,35,44,6900,21500,44500,72000,101600
services,45,54,7300,22800,44800,73100,107400
services,55,64,3300,13100,33900,58500,90000
services,65,120,1000,2500,6900,30200,63200
all,15,24,1800,4600,10500,21600,37800
all,25,34,6200,17600,39600,64500,89600
all,35,44,8100,25300,52400,84800,119700
all,45,54,8900,28100,55200,90100,132300
all,55,64,4200,16900,43600,75200,115700
all,65,120,1100,2800,7750,33700,70600
