origin,destination,share
NL,PE,0.013959
NL,NS,0.141535
NL,NB,0.062328
NL,QC,0.038305
NL,ON,0.310664
NL,MB,0.016718
NL,SK,0.018503
NL,AB,0.301412
NL,BC,0.080506
NL,YT,0.002435
NL,NT,0.007304
NL,NU,0.00633
PE,NL,0.021577
PE,NS,0.151838
PE,NB,0.100693
PE,QC,0.058604
PE,ON,0.368673
PE,MB,0.013053
PE,SK,0.007725
PE,AB,0.181673
PE,BC,0.087373
PE,YT,0.001865
PE,NT,0.003996
PE,NU,0.00293
NS,NL,0.046565
NS,PE,0.030581
NS,NB,0.126948
NS,QC,0.070674
NS,ON,0.375297
NS,MB,0.018296
NS,SK,0.014201
NS,AB,0.199736
NS,BC,0.106143
NS,YT,0.001849
NS,NT,0.006605
NS,NU,0.003104
NB,NL,0.028356
NB,PE,0.027901
NB,NS,0.163319
NB,QC,0.203036
NB,ON,0.311915
NB,MB,0.010543
NB,SK,0.01236
NB,AB,0.173225
NB,BC,0.06471
NB,YT,0.000909
NB,NT,0.001363
NB,NU,0.002363
QC,NL,0.006766
QC,PE,0.015368
QC,NS,0.052472
QC,NB,0.05786
QC,ON,0.568713
QC,MB,0.022226
QC,SK,0.021583
QC,AB,0.126772
QC,BC,0.118598
QC,YT,0.004378
QC,NT,0.002725
QC,NU,0.002541
ON,NL,0.031748
ON,PE,0.021535
ON,NS,0.119085
ON,NB,0.079727
ON,QC,0.138053
ON,MB,0.045681
ON,SK,0.05525
ON,AB,0.320366
ON,BC,0.176956
ON,YT,0.004606
ON,NT,0.004185
ON,NU,0.002808
MB,NL,0.008284
MB,PE,0.004215
MB,NS,0.026498
MB,NB,0.014
MB,QC,0.043695
MB,ON,0.284697
MB,SK,0.075813
MB,AB,0.327423
MB,BC,0.206898
MB,YT,0.002374
MB,NT,0.003197
MB,NU,0.002907
SK,NL,0.004854
SK,PE,0.002746
SK,NS,0.013924
SK,NB,0.009168
SK,QC,0.018532
SK,ON,0.222582
SK,MB,0.063784
SK,AB,0.460166
SK,BC,0.196941
SK,YT,0.002746
SK,NT,0.003383
SK,NU,0.001177
AB,NL,0.029432
AB,PE,0.008211
AB,NS,0.04643
AB,NB,0.025358
AB,QC,0.050503
AB,ON,0.262349
AB,MB,0.045577
AB,SK,0.104056
AB,BC,0.410553
AB,YT,0.005801
AB,NT,0.009384
AB,NU,0.002346
BC,NL,0.009968
BC,PE,0.006831
BC,NS,0.042434
BC,NB,0.019328
BC,QC,0.047173
BC,ON,0.246981
BC,MB,0.037341
BC,SK,0.057276
BC,AB,0.514437
BC,YT,0.011283
BC,NT,0.006139
BC,NU,0.00081
YT,NL,0.013104
YT,PE,0.004914
YT,NS,0.03276
YT,NB,0.025389
YT,QC,0.045864
YT,ON,0.154791
YT,MB,0.034398
YT,SK,0.040131
YT,AB,0.239148
YT,BC,0.367731
YT,NT,0.036036
YT,NU,0.005733
NT,NL,0.027218
NT,PE,0.010585
NT,NS,0.044859
NT,NB,0.028226
NT,QC,0.037298
NT,ON,0.148185
NT,MB,0.034274
NT,SK,0.032258
NT,AB,0.410282
NT,BC,0.151714
NT,YT,0.048891
NT,NU,0.02621
NU,NL,0.073171
NU,PE,0.013211
NU,NS,0.059959
NU,NB,0.035569
NU,QC,0.145325
NU,ON,0.300813
NU,MB,0.104675
NU,SK,0.014228
NU,AB,0.097561
NU,BC,0.074187
NU,YT,0.03252
NU,NT,0.04878
