age_lo,age_hi,tenure_lo_months,tenure_hi_months,share
15,24,0,3,0.1528
15,24,4,6,0.1225
15,24,7,12,0.1645
15,24,13,60,0.5095
15,24,61,120,0.0484
15,24,121,240,0.0023
15,24,241,9999,0
25,44,0,3,0.0438
25,44,4,6,0.0462
25,44,7,12,0.0797
25,44,13,60,0.4318
25,44,61,120,0.2202
25,44,121,240,0.1592
25,44,241,9999,0.0191
45,54,0,3,0.0242
45,54,4,6,0.0244
45,54,7,12,0.0394
45,54,13,60,0.254
45,54,61,120,0.1884
45,54,121,240,0.2629
45,54,241,9999,0.2067
55,64,0,3,0.018
55,64,4,6,0.0174
55,64,7,12,0.0282
55,64,13,60,0.192
55,64,61,120,0.1653
55,64,121,240,0.2446
55,64,241,9999,0.3345
65,120,0,3,0.0124
65,120,4,6,0.0127
65,120,7,12,0.0202
65,120,13,60,0.1622
65,120,61,120,0.1486
65,120,121,240,0.2232
65,120,241,9999,0.4207
