field,age_lo,age_hi,interprovincial_rate,emigration_rate
all,0,4,0.011481,0.003941
all,5,9,0.008693,0.003507
all,10,14,0.00706,0.002552
all,15,19,0.005892,0.001248
all,20,24,0.017557,0.003127
all,25,29,0.018257,0.005055
all,30,34,0.014202,0.005494
all,35,39,0.010742,0.00511
all,40,44,0.007925,0.003862
all,45,49,0.005985,0.002886
all,50,54,0.004892,0.002294
all,55,59,0.004214,0.001838
all,60,64,0.004037,0.001256
all,65,69,0.003642,0.001159
all,70,74,0.002899,0.00106
all,75,79,0.00245,0.001013
all,80,84,0.002358,0.001061
all,85,89,0.002112,0.001053
all,90,120,0.001872,0.000763
