age,sex,qx
0,M,0.00496
1,M,0.00031
2,M,0.00023
3,M,0.00018
4,M,0.00014
5,M,0.00012
6,M,0.0001
7,M,0.00009
8,M,0.00009
9,M,0.00009
10,M,0.00009
11,M,0.0001
12,M,0.00011
13,M,0.00014
14,M,0.00019
15,M,0.00026
16,M,0.00036
17,M,0.00046
18,M,0.00053
19,M,0.00059
20,M,0.00065
21,M,0.0007
22,M,0.00075
23,M,0.0008
24,M,0.00084
25,M,0.00089
26,M,0.00093
27,M,0.00099
28,M,0.00105
29,M,0.00112
30,M,0.00119
31,M,0.00128
32,M,0.00135
33,M,0.00142
34,M,0.00148
35,M,0.00154
36,M,0.00159
37,M,0.00164
38,M,0.00171
39,M,0.00178
40,M,0.00185
41,M,0.00194
42,M,0.00204
43,M,0.00215
44,M,0.00227
45,M,0.0024
46,M,0.00255
47,M,0.00271
48,M,0.0029
49,M,0.00311
50,M,0.00334
51,M,0.00359
52,M,0.00387
53,M,0.00418
54,M,0.00451
55,M,0.00488
56,M,0.00528
57,M,0.00572
58,M,0.00621
59,M,0.00674
60,M,0.00733
61,M,0.00797
62,M,0.00868
63,M,0.00947
64,M,0.01034
65,M,0.0113
66,M,0.01236
67,M,0.01353
68,M,0.01483
69,M,0.01627
70,M,0.01788
71,M,0.01966
72,M,0.02164
73,M,0.02385
74,M,0.02631
75,M,0.02906
76,M,0.03212
77,M,0.03555
78,M,0.03938
79,M,0.04368
80,M,0.04849
81,M,0.05389
82,M,0.05996
83,M,0.06678
84,M,0.07445
85,M,0.08309
86,M,0.09284
87,M,0.10384
88,M,0.11626
89,M,0.13031
90,M,0.14621
91,M,0.16372
92,M,0.18242
93,M,0.20225
94,M,0.2231
95,M,0.24653
96,M,0.26869
97,M,0.29147
98,M,0.31464
99,M,0.338
100,M,0.36131
101,M,0.38435
102,M,0.4069
103,M,0.42877
104,M,0.44978
105,M,0.46978
106,M,0.48867
107,M,0.50636
108,M,0.52281
109,M,0.53801
110,M,1
0,F,0.00423
1,F,0.00023
2,F,0.00018
3,F,0.00014
4,F,0.00012
