trait,hazard,beta_per_sd,status,significant,citation
O,mortality,-0.0101,published,0,Jokela2013
C,mortality,-0.1278,published,1,Jokela2013
E,mortality,-0.0513,published,0,Jokela2013
A,mortality,0.0198,published,0,Jokela2013
N,mortality,0.0296,published,0,Jokela2013
O,marriage,-0.0939,derived,1,Jokela2011
C,marriage,0.0200,derived,0,Jokela2011
E,marriage,0.0997,derived,1,Jokela2011
A,marriage,0.0102,derived,0,Jokela2011
N,marriage,-0.0179,derived,0,Jokela2011
O,divorce,0.22,published,1,SolomonJackson2014
C,divorce,0.02,published,0,SolomonJackson2014
E,divorce,0.02,published,0,SolomonJackson2014
A,divorce,-0.01,published,0,SolomonJackson2014
N,divorce,0.15,published,1,SolomonJackson2014
O,fertility,-0.0791,derived,1,Jokela2011
C,fertility,-0.0243,derived,1,Jokela2011
E,fertility,0.0469,derived,1,Jokela2011
A,fertility,0.0276,derived,1,Jokela2011
N,fertility,-0.0202,derived,1,Jokela2011
O,job_change,0,unsourced,0,none
C,job_change,0,unsourced,0,none
E,job_change,0,unsourced,0,none
A,job_change,0,unsourced,0,none
N,job_change,0,unsourced,0,none
O,income_rank,0.0165,derived,1,Alderotti2021
C,income_rank,0.0253,derived,1,Alderotti2021
E,income_rank,0.0209,derived,1,Alderotti2021
A,income_rank,-0.0353,derived,1,Alderotti2021
N,income_rank,-0.0330,derived,1,Alderotti2021
O,home_purchase,0,unsourced,0,none
C,home_purchase,0,unsourced,0,none
E,home_purchase,0,unsourced,0,none
A,home_purchase,0,unsourced,0,none
N,home_purchase,0,unsourced,0,none
O,migration,0.2546,published,1,Jokela2009
C,migration,0.0296,published,0,Jokela2009
E,migration,0.0100,published,0,Jokela2009
A,migration,-0.1278,published,1,Jokela2009
N,migration,-0.0726,published,0,Jokela2009
